number,title,labels,scenario
10099,"Failing test: Microsoft.Extensions.ServiceDiscovery.Dns.Resolver.Tests.TcpFailoverTests.TcpFailover_ServerClosesWithoutData_EmptyResult",area-service-discovery,UNMAPPED
10118,"Sort and Resize buttons are not accessible using the keyboard keys: A11y_Aspire Dashboard_Resources_Keyboard.","area-dashboard,external",UNMAPPED
10119,"Keyboard focus does not return to the parent control after closing the Help, Github copilot and settings dialog: A11y_Aspire Dashboard_ResourcesFocusOrder.","area-dashboard,external",UNMAPPED
10129,"Unexpected backward focus navigation triggered by Shift + Tab: A11y_Aspire Dashboard_FocusOrder","area-dashboard,a11y,external",UNMAPPED
10146,"Flakey tests if running Tests `WithEndpointProxySupport(false)` in parallel",needs-retriage,UNMAPPED
10147,"Regression: Metrics / Tracing not visible in dashboard when using a custom service name",needs-area-label,UNMAPPED
10150,"Support `.env` within the `WithEnvironment` API.",area-app-model,UNMAPPED
10160,"Version check: Storage of persistent information",area-app-model,UNMAPPED
10162,"Navigating back between traces while a trace detail is open",area-dashboard,UNMAPPED
10174,"RabbitMQ Username/Password Issue",area-integrations,UNMAPPED
10177,"Considerations for revisiting parameters",area-app-model,UNMAPPED
10199,"Officially support Rancher Desktop as a supported container runtime",needs-area-label,UNMAPPED
10201,"Add serialization context for RPC on apphost side","area-app-model,area-cli",UNMAPPED
10202,"Allow configuration of health check polling interval in Aspire Dashboard",area-app-model,UNMAPPED
10221,"Enable static files and configuration file support in YARP integration",area-integrations,UNMAPPED
10225,"Azure Functions - OpenTelemetry host.json log filtering and excessive log noise from host","area-integrations,azure-functions",UNMAPPED
10239,"Add a feature flag in the aspire cli for disabling https",area-cli,UNMAPPED
10248,"Change the state of resources waiting for values to Waiting for X",area-app-model,UNMAPPED
10255,"builder.AddServerDefaults() and builder.MapDefaultEndpoints() not placed in the correct spot",needs-retriage,UNMAPPED
10261,"When running with aspire project console logs are not filtered properly",area-app-model,UNMAPPED
10282,"User Interface for SqlServer via vscode extension",area-integrations,UNMAPPED
10286,"Add IResourceWithServiceDiscovery to ContainerResource",area-app-model,UNMAPPED
10294,"Make OTLP Configuration Optional Instead of Disabled in Publish Mode","area-telemetry,needs-further-triage,dashboard-metrics",UNMAPPED
10297,"Model selector options are not accessible using the keyboard: A11y_Aspire Dashboard_Copilot_Keyboard","area-dashboard,area-copilot",UNMAPPED
10299,"Screen reader is not announcing the checked/unchecked status for helpful/unhelpful buttons :A11y_Aspire Dashboard_Resources_Screenreader",area-dashboard,UNMAPPED
10301,"Support executing commands inside container resources","area-app-model,area-cli,pod-e2e",UNMAPPED
10304,"Yarp can not resolve service name","area-integrations,yarp",UNMAPPED
10322,"[AspireE2E] The 'Type to search' option is not localized on non-ENU machines when creating an Aspire CLI project.",area-cli,UNMAPPED
10332,"InvalidOperationException ""CommandText property has not been initialized"" when creation script contains 2 consecutive GO statements","area-integrations,sqlserver",UNMAPPED
10355,"Parameters are shown as isolated nodes in graph view; not recognized as related resources",area-app-model,UNMAPPED
10356,"Support parameter descriptions & validation",area-app-model,UNMAPPED
10364,"Improve Azure local provisioning: detect and facilitate first time login, show credential choices","area-integrations,azure",UNMAPPED
10365,"Improve custom resource authoring: WithInitialState defaults, property helpers, and dashboard display",area-app-model,UNMAPPED
10366,"Add progress as a first class state for resources (indeterminate and percentage-based progress support)","area-dashboard,area-app-model",UNMAPPED
10377,"Aspire AppHost does not shut down projects gracefully",area-tooling,UNMAPPED
10389,"[CLI] Some of the command help information have an extra ] character",needs-retriage,UNMAPPED
10395,"Add a notification to the dashboard to show when the HTTPS development cert is untrusted with a button to trust it",area-app-model,UNMAPPED
10420,"[AspireE2E] Some buttons in the Unresolved Parameters option don't have tooltips.",area-integrations,UNMAPPED
10427,"The message bar intent styles could be improved","area-dashboard,interaction-service",UNMAPPED
10457,"Collapsible child resources in Graph View",area-dashboard,UNMAPPED
10461,"`IInteractionService` API limitations in the CLI","area-app-model,area-cli,interaction-service",UNMAPPED
10483,"[CLI] Config commands should only work locally unless -g is passed for global.",area-cli,UNMAPPED
